출처,직군,검색어,공고 이름,회사 이름,회사 위치,마감일,링크,점수,워치리스트
고용24,IBD,IB,[대형 증권사] IB본부 M&A팀 경력 채용,(주)피플온,서울,2026-08-28,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2608040001008&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,외국금융기업/정보보안담당자,유어파트너스,서울 중구,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54565972&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,금융·기업·데이터센터 SI 영업담당자 채용,데이터퓨처테크놀로지 주식회사,서울 강남구,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54529543&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,금융·기업·데이터센터 SI 영업담당자 채용(신입사원),데이터퓨처테크놀로지 주식회사,서울 강남구,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54533368&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,일반기업금융 경력자를 모집합니다.,(주)블루코너캐피탈,서울 강남구,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54408285&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,"Data Engineer (기업/금융 데이터, Platform)",딥서치,서울 영등포구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369367&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,IBD,기업금융,기업금융 투자심사역,현대캐피탈,지역무관,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368387&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,애널리스트,[코스피-신용평가업체] 데이터 애널리스트,파워에이치알,서울 영등포구,2026-09-03,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2608040004459&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,35,FALSE
고용24,애널리스트,Analyst,Finance Analyst (Intercompany Billing...,한온시스템,경기 성남시 분당구,2026-08-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=172821&infoTypeCd=OEW&infoTypeGroup=tb_workinfoopen,30,FALSE
고용24,애널리스트,Analyst,[Data팀] Data Analyst (데이터 분석가),㈜아이샵케어,서울 강남구,2026-09-22,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51313698&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,35,FALSE
고용24,애널리스트,Analyst,[허드슨리서치파트너스] Research Analyst 채용,㈜허드슨리서치파트너스,서울 중구 등,2026-08-22,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51303920&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,35,FALSE
고용24,애널리스트,Analyst,Business Analyst,스마트오에스씨코리아(유),서울 영등포구,2026-08-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54488759&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,[닐슨아이큐코리아] Senior Data Scientist(Stat...,닐슨아이큐서비스코리아(유),서울 중구,2026-08-12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54445934&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Finance Analyst,에너자이저코리아(주),서울 강남구,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54446710&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Business Analyst (BA),마티니아이오,서울 서초구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=362156&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Product Data Analyst,씨제이올리브영(CJ올리브영),서울 용산구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=351569&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Data Analyst,엘박스,서울 강남구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=276386&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Social Listening Specialist / Data Analyst...,시너지버슨,서울 종로구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=365696&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,애널리스트,Analyst,Data Analyst,번개장터,서울 서초구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=342694&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
