검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
회계사,[사회복지법인밀알복지재단] 밀알장애인활동지원센터 회계직 채용공고(육...,사회복지법인밀알복지재단,대구 북구,회사내규에 따름,경력3년 학력무관,주5일,,2026-07-26,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=19390045&infoTypeCd=CCN&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,"키즈제작사 경영지원(회계,관리) 경력직 채용(상담가능)",flor방송제작사,서울 강남구 등,회사내규에 따름,경력2년 학력무관,주5일,,2026-08-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51227338&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,(사)서울YWCA 회계·총무·행정 실무자 채용,서울와이더블유씨에이,서울 노원구,회사내규에 따름,경력무관 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560394&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,"고속도로휴게소 식자재유통사, 일반 회계, 총무 사무원 모집 (ERP...",주식회사 정우유통,경기도 하남시 서하남로47번길,월급 280 만원 이상,경력1년 학력무관,주5일 주 40시간 근로,,2026-09-06,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180342607070015&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,법인 사업체 회계/경리 담당자 모집 (경력 3년 이상/연봉협상),㈜정한건설,인천 검단구 등,"연봉 2,800 만원 ~ 4,500 만원",경력3년 고졸,주5일,,2026-08-06,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51207620&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,"사무직(재무.회계,공사업무) 보조",지에스네트웍스（주）,강원특별자치도 춘천시 퇴계농공로,월급 230 만원 ~ 250 만원,경력 학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,,2026-09-02,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K152122607060007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,"[기장유통] 사무행정,쇼핑몰운영관리,회계등 인턴사원모집",기장유통,부산 기장군,"시급 10,320 원 ~ 10,320 원",경력1년 고졸,주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54102498&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,함께 일할 새로운 식구를 모십니다.(옥재호 회계사반 회계사무원),신우회계법인부산분사무소,부산광역시 부산진구 서면문화로,"연봉 3,200 만원 이상",경력3년 대졸(2~3년) ~ 대졸(4년),주5일 주 40시간 근로 09:00 ~ 18:00,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K130042607030048&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,신한회계법인광주지점에서 함께 근무할 경력직원을 모집합니다. ( 박상...,신한회계법인광주지점,전남광주통합특별시 북구 첨단과기로208번길,"연봉 3,000 만원 이상",경력1년 학력무관,주5일 주 33시간 근로,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K160012607030008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,주식회사 미진봉투사에서 경리직 ERP(이카운트) 엑셀 회계 장부정리...,주식회사미진봉투사,경기도 파주시 장명산길,"연봉 3,000 만원 ~ 3,400 만원",경력3년 고졸 ~ 대졸(4년),주5일 주 40시간 근로 09:00 ~ 18:00,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180222607030007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
